answer_id,_judge_correctness
9057aac8-0186-4bb4-adc6-6814101eecba,CORRECT
6639b225-30ae-4f4d-95a0-b5f62d5f6406,NOT_STATED
c7e3f05d-cdf6-45cb-896f-87771db05d06,NOT_STATED
7e815ada-8ef5-4b70-ab36-5d5c17f0dc08,CORRECT
33ee50ac-f2f0-4a01-80a4-c5e7f33651b1,CORRECT
a4a8c96e-c467-4b15-9a87-8c9023cc95d1,INCORRECT
1028b328-7aac-4393-be31-2677ce7aee88,INCORRECT
d351f2ed-6df9-40e7-9476-4bb6c8455387,CORRECT
65c31429-83f5-4a1f-9419-96ac30a3d94e,INCORRECT
a3c1935a-48d8-4d67-a907-f54e424de187,INCORRECT
dfd0f49f-fd78-4d21-b04d-02aa079cdf2f,NOT_STATED
08412da5-4bdf-4ae9-b872-7cd30bd6825b,NOT_STATED
e3a9f022-6d5b-48fc-bbcd-89e863505a07,INCORRECT
51c44000-78ff-4e26-a3d3-85afdf7fa0e8,INCORRECT
07c69248-dde4-428e-9163-7d9d07e298cc,NOT_STATED
3569d8ac-22e2-4bd5-a45f-9f78184a837a,INCORRECT
1ba306d2-6523-4006-bf7e-b0fb89cd35c7,INCORRECT
4521bae1-6f36-458d-a7ad-eb763dff8957,INCORRECT
d29126d4-1aae-4c99-851a-f3ba9ecbb09c,NOT_STATED
afaf690f-2e45-47c1-9007-dece5d241271,INCORRECT
074161ce-29e8-4f50-9ec5-02d615eb1828,NOT_STATED
da452761-8f63-4bf0-af22-4c74f145f865,INCORRECT
17f291e5-a910-4f37-a58e-05c3fc2dc601,INCORRECT
faacd7b5-7ad8-41e9-bfc6-031e06438745,NOT_STATED
c5b97f97-27c3-4628-a9bf-e101fd9d1bc2,NOT_STATED
645e7130-4f6f-4960-9680-a01c107ad9ea,NOT_STATED
57727afd-5e2a-4b04-8a5a-bc675034ef8a,INCORRECT
c51ef9a2-d5ba-4c7b-82d7-266f17d0330a,NOT_STATED
fa9209ad-42b5-4e28-a9b3-45764316a16a,NOT_STATED
4b7e5c43-8ef0-4984-b66f-c4787ee661c7,NOT_STATED
facd1ba6-3082-47f5-ad43-e99bc04c4f89,CORRECT
9dde7058-ca8e-4ae4-9fb5-9dae33132271,CORRECT
